,Watch Name,Watch Price,MRP Price,Discout,Description
193,Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge...,"₹1,099","₹3,995",72% off,"Green Strap, Free Size"
194,"CMF by Nothing Watch Pro, 1.96 AMOLED display, BT calli...","₹3,299","₹5,999",45% off,"Ash Grey Strap, Free Size"
195,Fire-Boltt Ninja Talk 1.39'' Round Bluetooth Calling Me...,"₹1,599","₹11,999",86% off,"Pink Strap, 1.39"""
196,"yoof Magic with 1.85"" HD Square Display, Bluetooth Call...","₹1,499","₹5,999",75% off,Sponsored
197,alt OG Supreme 1.96'' AMOLED Single Chip Calling 120 sp...,"₹1,599","₹14,999",89% off,Sponsored
198,"Fastrack Optimus Pro with 1.43"" AMOLED Display & AOD(46...","₹1,999","₹5,995",66% off,"Blue Strap, Free Size"
199,"Fire-Boltt Epic with1.69"" 2.5D Curved Glass,SPO2, Heart...",₹999,"₹7,999",87% off,"Black Strap, Free Size"
200,PunnkFunnk Kids Anti-Lost Smart Watch with Phone Call C...,"₹1,303","₹2,999",56% off,Sponsored
201,"Noise Pro 5 Max 1.96 AMOLED Display, Post Workout Analy...","₹4,499","₹9,999",55% off,Sponsored
202,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","₹1,099","₹4,999",78% off,"Midnight Gold Strap, Regular"
203,"Ambrane Wise Glaze with 1.78"" Amoled display, BT Callin...","₹1,299","₹5,999",78% off,"Black Strap, Regular"
204,Fire-Boltt Hunter 2.01 inch HD Display Buetooth Calling...,"₹1,199","₹14,999",92% off,"Black Strap, Free Size"
205,"Noise Icon Buzz 1.69"" Display with Bluetooth Calling, B...","₹1,099","₹4,999",78% off,"Green Strap, Regular"
206,"Fire-Boltt Rise Steel Ultra 1.91 Display, BT Call, Voic...","₹1,399","₹14,999",90% off,Sponsored
207,"Boult Cosmic R 1.39 inch HD, BT Calling, Zinc Alloy Fra...","₹1,099","₹5,999",81% off,Sponsored
208,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Meta...","₹1,199","₹7,999",85% off,"Navy Blue Strap, Regular"
209,Fire-Boltt Legend Bluetooth Calling with 1.39'' Round D...,₹999,"₹9,999",90% off,"Black Strap, Free Size"
210,"Fire-Boltt Ninja Talk AMOLED: 1.43 AMOLED Display, 700 ...","₹1,599","₹12,999",87% off,Sponsored
211,"boAt Wave Sigma with 2.01"" HD Display, BT Calling,Coins...","₹1,599","₹7,499",78% off,Sponsored
212,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,"Black Strap, Free Size"
213,"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOL...","₹1,999","₹7,995",74% off,"Blue Strap, Free Size"
214,Fire-Boltt Destiny 1.39'' Stainless Steel Luxury Smartw...,"₹1,499","₹11,999",87% off,"Black Strap, Free Size"
215,Noise Loop 1.85'' Display with Advanced Bluetooth Calli...,"₹1,099","₹6,999",84% off,"Blue Strap, Regular"
216,"Cult Ace X1 2.04"" Amoled Display,1000 NITS, Bluetooth C...","₹2,499","₹7,999",68% off,Sponsored
